Description	Frames Taken	Total Frames	Slot #1	Slot #2	Slot #3	Slot #4	Slot #5	Slot #6	Slot #7	Slot #8	Slot #9	Slot #10	Slot #11	Slot #12	Slot #13	Slot #14	Slot #15	Slot #16	Slot #17	Slot #18	Slot #19	Slot #20	Shroom Fry	Shroom Roast	Shroom Steak	Honey Shroom	Maple Shroom	Jelly Shroom	Honey Super	Maple Super	Jelly Super	Honey Ultra	Maple Ultra	Jelly Ultra	Zess Dinner	Zess Special	Zess Deluxe	Spaghetti	Koopasta	Spicy Pasta	Ink Pasta	Spicy Soup	Fried Egg	Omelette Meal	Koopa Bun	Healthy Salad	Meteor Meal	Couples Cake	Mousse Cake	Shroom Cake	Choco Cake	Heartful Cake	Fruit Parfait	Mango Delight	Love Pudding	Zess Cookie	Shroom Crepe	Peach Tart	Koopa Tea	Zess Tea	Shroom Broth	Fresh Juice	Inky Sauce	Icicle Pop	Zess Frappe	Snow Bunny	Coco Candy	Honey Candy	Jelly Candy	Electro Pop	Fire Pop	Space Food	Poison Shroom	Trial Stew	Courage Meal	Coconut Bomb	Egg Bomb	Zess Dynamite	Mistake	Dried Bouquet
Begin	0	0	Golden Leaf	Peachy Peach	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Ruin Powder	Super Shroom	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Use Mystic Egg in slot 17 and Life Shroom in slot 11 to make (and toss) Omelette Meal	103	103	Golden Leaf	Peachy Peach	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Ruin Powder	Super Shroom	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Use Turtley Leaf in slot 20 to make (and toss) Koopa Tea	23	126	Golden Leaf	Peachy Peach	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Ruin Powder	Super Shroom	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Use Honey Syrup in slot 12 to make (and toss) Fresh Juice	39	165	Golden Leaf	Peachy Peach	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Ruin Powder	Super Shroom	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
Use Cake Mix in slot 18 and Honey Syrup in slot 12 to make (and toss) Honey Candy	99	264	Golden Leaf	Peachy Peach	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Ruin Powder	Super Shroom	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False
Use Super Shroom in slot 9 and Maple Syrup in slot 13 to make Maple Super, auto-placed in slot 9	84	348	Golden Leaf	Peachy Peach	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Ruin Powder	Maple Super	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False
Use Cake Mix in slot 18 and Fire Flower in slot 14 to make (and toss) Fire Pop	95	443	Golden Leaf	Peachy Peach	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Ruin Powder	Maple Super	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Mystic Egg in slot 17 to make (and toss) Fried Egg	29	472	Golden Leaf	Peachy Peach	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Ruin Powder	Maple Super	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Life Shroom in slot 11 to make Shroom Roast, toss Maple Super in slot 9	57	529	Golden Leaf	Peachy Peach	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Ruin Powder	Shroom Roast	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
Use Fire Flower in slot 14 to make Spicy Soup, toss Shroom Roast in slot 9	51	580	Golden Leaf	Peachy Peach	Shooting Star	Slow Shroom	Volt Shroom	Mystery	Jammin Jelly	Ruin Powder	Spicy Soup	Ultra Shroom	Life Shroom	Honey Syrup	Maple Syrup	Fire Flower	Ice Storm	Hot Dog	Mystic Egg	Cake Mix	Hot Sauce	Turtley Leaf	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False
